"%s - Repsonse: %s","%s - Antwoord: %s"
"%s new review(s)","%s nieuwe beoordeling(en)"
"%s review(s) updated","%s beoordeling(en) geupdate"
"%s/%s with %s reviews","%s/%s met %s beoordelingen"
"API CREDENTIALS","API Gegevens"
"You can add this custom block by pasting the following code into your CMS page or Static Block.<br/>{{block type=""feedbackcompany/custom"" name=""feedbackcompany"" blocktype=""sidebar""}}","Het is mogelijk om dit blok te plaatsen in een pagina of statisch blok door de volgende code toe te voegen:<br/>{{block type=""feedbackcompany/custom"" name=""feedbackcompany"" blocktype=""sidebar""}}"
"You can add this custom block by pasting the following code in your CMS page or Static Block.<br/>{{block type=""feedbackcompany/custom"" name=""feedbackcompany"" blocktype=""medium""}}","Het is mogelijk om dit blok te plaatsen in een pagina of statisch blok door de volgende code toe te voegen:<br/>{{block type=""feedbackcompany/custom"" name=""feedbackcompany"" blocktype=""medium""}}"
"Yes","Ja"
"and total score updated.","totaal score geüpdate."
"on","aan"
"total score updated","totaal score geüpdate"
"<p>The extension comes with two coded blocks.<br/>With this blocks you can add your store rating in a Static block or CMS page.</p><br/><p><strong>The Rich Snippets Block.</strong><br/>Show your Store-rating with this block and generate results in the Google Search Engine Results better known as Rich Snippets.<br/>Paste the code below at the desired location using a Static Block or a CMS page.</p> <p>Code: {{block type=""feedbackcompany/snippets"" name=""feedbackcompanysnippets""}}</p><br/><p><strong>Custom Block.</strong><br/>With this block you can create custom block for footer of header, you can paste the code below at the desired location using a Static Block or a CMS page.<br>To edit this block you need to edit the .phtml file located in the following path: app/design/frontend/base/default/template/magmodules/feedbackcompany/widget/custom.phtml</p> <p>Code: {{block type=""feedbackcompany/custom"" name=""feedbackcompany""}}</p>","<p>Deze extensie komt met 2 verschillende blokken.<br>Met deze blokken kan je de winkelbeoordeling in een static-block of CMS pagina plaatsen.</p><p><br><strong>Het Rich Snippets blok.</strong><br></strong>Toon de webwinkel-waardering met in blok  en genereer hiermee de zogenaamde Rich Snippets waarbij de winkelbeoordelingen worden getoond in de Zoekmachine resultaten van bijvoorbeeld Google. Plaat de onderstaande code op de gewenste plaats in een statische blok of een CMS-pagina.</p> <p><strong>De code: </strong>{{block type=""feedbackcompany/snippets"" name=""feedbackcompanysnippets""}}</p><p><br><strong>Custom blok.</strong><br>Met dit custom blok is het mogelijk om eenvoudig een eigen blok creëren met daarin verschillende waardes als het aantal klanbeoordelingen, bedrijfsnaam en gemiddelde rating. Plaats de onderstaande code op de gewenste plek  in  een statisch blok of een CMS-pagina. Om dit blok naar wens te bewerken en eventueel aan te vullen met de geweneste informatie is het mogelijk om het .phtml bestand aan te passen. Deze is te vinden via de volgende path: app/design/frontend/base/default/template/magmodules/Feedbackcompany/widget/custom.phtml </p><p><strong>De code:</strong> {{block type=""feedbackcompany/custom"" name=""feedbackcompany""}}</p>"
"Friendlyness","Vriendelijkheid"
"Leadtime","Levertijd"
"Responsetime","Reactiesnelheid"
"Order Process","Order Process"
"Aftersales","After sales"
"Show stars","Toon sterren"
"Information on the website","Informatie op de website"
"Ease of ordering","Bestelgemak"
"Delivery speed","Snelheid levering"
"Order status updates","Info over verloop order"
"Customer-friendly","Klantvriendelijkheid"
"Response time","Reactiesnelheid"
"Optional: Product Reviews","Optioneel: Product Reviews"
"This option is still in beta, contact The Feedback Company for more information.<br/>","Deze functie is nog niet voor alle klanten van The Feedback Company beschikbaar. Momenteel worden er beta tests uitgevoerd door The Feedback Company in samenwerking met een aantal klanten. Wilt u graag meehelpen met het testen? Neem dan contact op met support@feedbackcompany.com zij leggen u graag uit hoe dit in zijn werk gaat.<br/>"
"API Response for client ID:","API reactie op klant ID:"
"Imported %d new productreview(s).","%d nieuwe productreview(s) geïmporteerd."
"No new reviews found.","Er zijn geen nieuwe reviews gevonden."
"%s new review(s)","%s nieuwe review(s)"
"%s review(s) updated","%s review(s) geüpdate"
"total score updated","totaal score geüpdate"
"%s new productreview(s) imported","%s nieuwe productreview(s) geïmporteerd"
"Default Review Status","Standaard Review Status"
"Invitation Emails","Uitnodiging email"
"Default Review Rating","Standaard Review Rating"
"Flush Block Cache after import","Flush Block Cache na import"
"Store Comment","Opmerking Winkel"
"Positive","Positief"
"Improvements","Verbeterpunten"
"Gender","Geslacht"
"Export Reviews","Exporteer Reviews"
"Recommend","Aanbevolen"
"No reviews found...","Geen beoordeling gevonden..."
"Anonymous","Anoniem"
"The documentation to implement The Feedback Company header widget can be found <a href=""http://www.magmodules.eu/help/feedbackcompany/the-feedback-company-header-widget/"">here</a>.","Lees de omschrijving over hoe de The Feedback Company widget te implementeren <a href=""http://www.magmodules.eu/help/feedbackcompany/the-feedback-company-header-widget/"">hier</a>."
"Header Block","Header Blok"
"Please select specific storeview in the grid before exporting the reviews.","Selecteer een specifieke storeview in de grid om de product beoordelingen te exporteren."
"Error, could not export the csv file.","Fout, het CSV bestand kan niet worden gegenereerd."
"The Feedback Company will sent you the Oauth2 details which can be filled in below.<br>If you haven't received the Oauth2 details you can request them manually by sending an e-mail to<a href=""mailto:support@feedbackcompany.com"">support@feedbackcompany.com</a>.<br/> As addition next to the activation of this extension we also recommend you to place the appropriate The Feedback Company logo.<br/><br/>","The Feedback Company stuurt voorziet u van de Oauth2 gegevens welke onderstaand kunnen worden ingevoerd.<br>Indien u de Oauth2 gegevens niet heeft ontvangen dan kunt u deze zelf opvragen door een e-mail te sturen naar <a href=""mailto:support@feedbackcompany.com"">support@feedbackcompany.com</a>. <br/>Naast het activeren van deze extensie wordt u aangeraden het The Feedback Company logo op uw webwinkel te tonen.<br/><br/>"
"Please run the <a href=""%s"">full</a> update process after changing the API datails.","Voer het <a href=""%s"">volledige</a> update proces uit na het veranderen van de API gegevens."
